Date,DRUGS
1/1/2015,43
1/2/2015,86
1/3/2015,70
1/4/2015,66
1/5/2015,43
1/6/2015,57
1/7/2015,61
1/8/2015,47
1/9/2015,72
1/10/2015,78
1/11/2015,69
1/12/2015,65
1/13/2015,77
1/14/2015,101
1/15/2015,131
1/16/2015,79
1/17/2015,84
1/18/2015,57
1/19/2015,92
1/20/2015,65
1/21/2015,66
1/22/2015,92
1/23/2015,90
1/24/2015,83
1/25/2015,58
1/26/2015,64
1/27/2015,90
1/28/2015,83
1/29/2015,94
1/30/2015,101
1/31/2015,75
2/1/2015,23
2/2/2015,43
2/3/2015,46
2/4/2015,72
2/5/2015,71
2/6/2015,103
2/7/2015,92
2/8/2015,87
2/9/2015,79
2/10/2015,76
2/11/2015,86
2/12/2015,80
2/13/2015,97
2/14/2015,59
2/15/2015,72
2/16/2015,77
2/17/2015,68
2/18/2015,55
2/19/2015,48
2/20/2015,83
2/21/2015,85
2/22/2015,67
2/23/2015,46
2/24/2015,73
2/25/2015,67
2/26/2015,75
2/27/2015,80
2/28/2015,62
3/1/2015,84
3/2/2015,97
3/3/2015,77
3/4/2015,71
3/5/2015,79
3/6/2015,95
3/7/2015,79
3/8/2015,90
3/9/2015,73
3/10/2015,88
3/11/2015,71
3/12/2015,76
3/13/2015,92
3/14/2015,79
3/15/2015,57
3/16/2015,82
3/17/2015,98
3/18/2015,80
3/19/2015,74
3/20/2015,81
3/21/2015,79
3/22/2015,65
3/23/2015,54
3/24/2015,96
3/25/2015,91
3/26/2015,83
3/27/2015,89
3/28/2015,70
3/29/2015,78
3/30/2015,76
3/31/2015,58
4/1/2015,71
4/2/2015,92
4/3/2015,87
4/4/2015,71
4/5/2015,54
4/6/2015,76
4/7/2015,72
4/8/2015,77
4/9/2015,69
4/10/2015,72
4/11/2015,76
4/12/2015,70
4/13/2015,62
4/14/2015,76
4/15/2015,63
4/16/2015,77
4/17/2015,83
4/18/2015,78
4/19/2015,70
4/20/2015,83
4/21/2015,74
4/22/2015,64
4/23/2015,59
4/24/2015,66
4/25/2015,64
4/26/2015,57
4/27/2015,48
4/28/2015,52
4/29/2015,66
4/30/2015,62
5/1/2015,65
5/2/2015,48
5/3/2015,30
5/4/2015,64
5/5/2015,63
5/6/2015,71
5/7/2015,84
5/8/2015,63
5/9/2015,66
5/10/2015,56
5/11/2015,75
5/12/2015,75
5/13/2015,72
5/14/2015,73
5/15/2015,80
5/16/2015,52
5/17/2015,72
5/18/2015,62
5/19/2015,66
5/20/2015,63
5/21/2015,59
5/22/2015,76
5/23/2015,57
5/24/2015,51
5/25/2015,54
5/26/2015,67
5/27/2015,74
5/28/2015,55
5/29/2015,86
5/30/2015,43
5/31/2015,54
6/1/2015,72
6/2/2015,65
6/3/2015,70
6/4/2015,62
6/5/2015,81
6/6/2015,75
6/7/2015,65
6/8/2015,65
6/9/2015,61
6/10/2015,66
6/11/2015,125
6/12/2015,66
6/13/2015,65
6/14/2015,48
6/15/2015,16
6/16/2015,50
6/17/2015,53
6/18/2015,47
6/19/2015,66
6/20/2015,31
6/21/2015,32
6/22/2015,48
6/23/2015,67
6/24/2015,62
6/25/2015,95
6/26/2015,64
6/27/2015,46
6/28/2015,39
6/29/2015,65
6/30/2015,76
7/1/2015,79
7/2/2015,75
7/3/2015,66
7/4/2015,50
7/5/2015,65
7/6/2015,56
7/7/2015,63
7/8/2015,72
7/9/2015,65
7/10/2015,75
7/11/2015,66
7/12/2015,68
7/13/2015,60
7/14/2015,65
7/15/2015,66
7/16/2015,42
7/17/2015,75
7/18/2015,49
7/19/2015,40
7/20/2015,59
7/21/2015,57
7/22/2015,72
7/23/2015,69
7/24/2015,72
7/25/2015,50
7/26/2015,60
7/27/2015,52
7/28/2015,52
7/29/2015,63
7/30/2015,70
7/31/2015,55
8/1/2015,64
8/2/2015,64
8/3/2015,52
8/4/2015,83
8/5/2015,76
8/6/2015,78
8/7/2015,71
8/8/2015,59
8/9/2015,69
8/10/2015,59
8/11/2015,68
8/12/2015,84
8/13/2015,64
8/14/2015,67
8/15/2015,47
8/16/2015,58
8/17/2015,48
8/18/2015,59
8/19/2015,74
8/20/2015,108
8/21/2015,90
8/22/2015,57
8/23/2015,70
8/24/2015,62
8/25/2015,55
8/26/2015,67
8/27/2015,72
8/28/2015,72
8/29/2015,65
8/30/2015,69
8/31/2015,67
9/1/2015,74
9/2/2015,77
9/3/2015,80
9/4/2015,68
9/5/2015,56
9/6/2015,77
9/7/2015,80
9/8/2015,61
9/9/2015,70
9/10/2015,56
9/11/2015,74
9/12/2015,51
9/13/2015,56
9/14/2015,56
9/15/2015,66
9/16/2015,82
9/17/2015,66
9/18/2015,52
9/19/2015,77
9/20/2015,67
9/21/2015,67
9/22/2015,77
9/23/2015,85
9/24/2015,67
9/25/2015,73
9/26/2015,57
9/27/2015,75
9/28/2015,68
9/29/2015,59
9/30/2015,73
10/1/2015,82
10/2/2015,105
10/3/2015,63
10/4/2015,64
10/5/2015,79
10/6/2015,84
10/7/2015,68
10/8/2015,64
10/9/2015,100
10/10/2015,62
10/11/2015,41
10/12/2015,58
10/13/2015,61
10/14/2015,77
10/15/2015,80
10/16/2015,71
10/17/2015,54
10/18/2015,56
10/19/2015,60
10/20/2015,86
10/21/2015,77
10/22/2015,76
10/23/2015,85
10/24/2015,46
10/25/2015,59
10/26/2015,51
10/27/2015,43
10/28/2015,54
10/29/2015,56
10/30/2015,96
10/31/2015,47
11/1/2015,69
11/2/2015,76
11/3/2015,55
11/4/2015,79
11/5/2015,66
11/6/2015,79
11/7/2015,56
11/8/2015,69
11/9/2015,64
11/10/2015,57
11/11/2015,71
11/12/2015,68
11/13/2015,67
11/14/2015,61
11/15/2015,65
11/16/2015,57
11/17/2015,58
11/18/2015,66
11/19/2015,93
11/20/2015,78
11/21/2015,39
11/22/2015,40
11/23/2015,54
11/24/2015,47
11/25/2015,44
11/26/2015,24
11/27/2015,37
11/28/2015,41
11/29/2015,45
11/30/2015,57
12/1/2015,66
12/2/2015,74
12/3/2015,59
12/4/2015,61
12/5/2015,43
12/6/2015,49
12/7/2015,45
12/8/2015,58
12/9/2015,39
12/10/2015,41
12/11/2015,48
12/12/2015,36
12/13/2015,28
12/14/2015,36
12/15/2015,56
12/16/2015,50
12/17/2015,45
12/18/2015,46
12/19/2015,44
12/20/2015,46
12/21/2015,35
12/22/2015,38
12/23/2015,31
12/24/2015,11
12/25/2015,11
12/26/2015,38
12/27/2015,38
12/28/2015,19
12/29/2015,50
12/30/2015,35
12/31/2015,21
1/1/2016,21
1/2/2016,29
1/3/2016,29
1/4/2016,23
1/5/2016,39
1/6/2016,34
1/7/2016,43
1/8/2016,48
1/9/2016,38
1/10/2016,29
1/11/2016,16
1/12/2016,35
1/13/2016,35
1/14/2016,49
1/15/2016,38
1/16/2016,38
1/17/2016,26
1/18/2016,36
1/19/2016,33
1/20/2016,35
1/21/2016,34
1/22/2016,54
1/23/2016,42
1/24/2016,26
1/25/2016,33
1/26/2016,42
1/27/2016,33
1/28/2016,103
1/29/2016,45
1/30/2016,36
1/31/2016,25
2/1/2016,47
2/2/2016,38
2/3/2016,42
2/4/2016,53
2/5/2016,48
2/6/2016,42
2/7/2016,29
2/8/2016,29
2/9/2016,34
2/10/2016,43
2/11/2016,43
2/12/2016,73
2/13/2016,48
2/14/2016,28
2/15/2016,54
2/16/2016,36
2/17/2016,50
2/18/2016,44
2/19/2016,60
2/20/2016,47
2/21/2016,54
2/22/2016,47
2/23/2016,33
2/24/2016,35
2/25/2016,95
2/26/2016,45
2/27/2016,41
2/28/2016,33
2/29/2016,32
3/1/2016,52
3/2/2016,59
3/3/2016,58
3/4/2016,69
3/5/2016,36
3/6/2016,53
3/7/2016,66
3/8/2016,30
3/9/2016,55
3/10/2016,61
3/11/2016,59
3/12/2016,30
3/13/2016,33
3/14/2016,42
3/15/2016,47
3/16/2016,47
3/17/2016,42
3/18/2016,65
3/19/2016,44
3/20/2016,38
3/21/2016,41
3/22/2016,42
3/23/2016,35
3/24/2016,42
3/25/2016,43
3/26/2016,44
3/27/2016,31
3/28/2016,52
3/29/2016,64
3/30/2016,51
3/31/2016,45
4/1/2016,44
4/2/2016,45
4/3/2016,41
4/4/2016,40
4/5/2016,60
4/6/2016,62
4/7/2016,92
4/8/2016,40
4/9/2016,44
4/10/2016,39
