Date,OTHER
1/1/2015,171
1/2/2015,94
1/3/2015,66
1/4/2015,56
1/5/2015,75
1/6/2015,84
1/7/2015,80
1/8/2015,61
1/9/2015,95
1/10/2015,87
1/11/2015,70
1/12/2015,84
1/13/2015,82
1/14/2015,87
1/15/2015,89
1/16/2015,92
1/17/2015,73
1/18/2015,69
1/19/2015,84
1/20/2015,110
1/21/2015,99
1/22/2015,98
1/23/2015,85
1/24/2015,82
1/25/2015,79
1/26/2015,85
1/27/2015,104
1/28/2015,90
1/29/2015,86
1/30/2015,101
1/31/2015,67
2/1/2015,164
2/2/2015,106
2/3/2015,88
2/4/2015,83
2/5/2015,94
2/6/2015,97
2/7/2015,95
2/8/2015,68
2/9/2015,98
2/10/2015,95
2/11/2015,86
2/12/2015,91
2/13/2015,120
2/14/2015,72
2/15/2015,87
2/16/2015,93
2/17/2015,81
2/18/2015,93
2/19/2015,71
2/20/2015,97
2/21/2015,73
2/22/2015,74
2/23/2015,87
2/24/2015,84
2/25/2015,94
2/26/2015,83
2/27/2015,111
2/28/2015,65
3/1/2015,160
3/2/2015,85
3/3/2015,113
3/4/2015,81
3/5/2015,105
3/6/2015,119
3/7/2015,94
3/8/2015,47
3/9/2015,119
3/10/2015,124
3/11/2015,120
3/12/2015,106
3/13/2015,94
3/14/2015,84
3/15/2015,84
3/16/2015,104
3/17/2015,77
3/18/2015,100
3/19/2015,59
3/20/2015,94
3/21/2015,76
3/22/2015,64
3/23/2015,90
3/24/2015,94
3/25/2015,103
3/26/2015,76
3/27/2015,102
3/28/2015,69
3/29/2015,72
3/30/2015,114
3/31/2015,103
4/1/2015,186
4/2/2015,101
4/3/2015,84
4/4/2015,97
4/5/2015,67
4/6/2015,96
4/7/2015,97
4/8/2015,105
4/9/2015,101
4/10/2015,113
4/11/2015,82
4/12/2015,88
4/13/2015,124
4/14/2015,99
4/15/2015,162
4/16/2015,84
4/17/2015,99
4/18/2015,79
4/19/2015,63
4/20/2015,110
4/21/2015,95
4/22/2015,86
4/23/2015,113
4/24/2015,90
4/25/2015,97
4/26/2015,73
4/27/2015,91
4/28/2015,91
4/29/2015,105
4/30/2015,95
5/1/2015,195
5/2/2015,79
5/3/2015,68
5/4/2015,108
5/5/2015,115
5/6/2015,111
5/7/2015,87
5/8/2015,105
5/9/2015,69
5/10/2015,83
5/11/2015,101
5/12/2015,109
5/13/2015,102
5/14/2015,105
5/15/2015,102
5/16/2015,103
5/17/2015,77
5/18/2015,107
5/19/2015,108
5/20/2015,98
5/21/2015,118
5/22/2015,98
5/23/2015,84
5/24/2015,55
5/25/2015,71
5/26/2015,94
5/27/2015,94
5/28/2015,89
5/29/2015,107
5/30/2015,77
5/31/2015,82
6/1/2015,208
6/2/2015,98
6/3/2015,120
6/4/2015,86
6/5/2015,117
6/6/2015,83
6/7/2015,80
6/8/2015,88
6/9/2015,102
6/10/2015,99
6/11/2015,84
6/12/2015,95
6/13/2015,83
6/14/2015,79
6/15/2015,133
6/16/2015,103
6/17/2015,72
6/18/2015,88
6/19/2015,77
6/20/2015,84
6/21/2015,54
6/22/2015,90
6/23/2015,90
6/24/2015,72
6/25/2015,81
6/26/2015,102
6/27/2015,82
6/28/2015,75
6/29/2015,92
6/30/2015,81
7/1/2015,182
7/2/2015,113
7/3/2015,92
7/4/2015,67
7/5/2015,70
7/6/2015,113
7/7/2015,84
7/8/2015,100
7/9/2015,77
7/10/2015,104
7/11/2015,68
7/12/2015,87
7/13/2015,121
7/14/2015,82
7/15/2015,112
7/16/2015,97
7/17/2015,106
7/18/2015,86
7/19/2015,71
7/20/2015,104
7/21/2015,92
7/22/2015,99
7/23/2015,92
7/24/2015,94
7/25/2015,90
7/26/2015,71
7/27/2015,101
7/28/2015,90
7/29/2015,91
7/30/2015,99
7/31/2015,102
8/1/2015,168
8/2/2015,70
8/3/2015,107
8/4/2015,81
8/5/2015,98
8/6/2015,101
8/7/2015,100
8/8/2015,98
8/9/2015,69
8/10/2015,108
8/11/2015,104
8/12/2015,88
8/13/2015,100
8/14/2015,91
8/15/2015,87
8/16/2015,57
8/17/2015,105
8/18/2015,96
8/19/2015,102
8/20/2015,101
8/21/2015,101
8/22/2015,97
8/23/2015,81
8/24/2015,91
8/25/2015,107
8/26/2015,120
8/27/2015,101
8/28/2015,109
8/29/2015,83
8/30/2015,87
8/31/2015,93
9/1/2015,178
9/2/2015,101
9/3/2015,100
9/4/2015,121
9/5/2015,65
9/6/2015,62
9/7/2015,76
9/8/2015,105
9/9/2015,87
9/10/2015,80
9/11/2015,95
9/12/2015,94
9/13/2015,57
9/14/2015,92
9/15/2015,125
9/16/2015,84
9/17/2015,81
9/18/2015,108
9/19/2015,84
9/20/2015,91
9/21/2015,84
9/22/2015,96
9/23/2015,95
9/24/2015,77
9/25/2015,104
9/26/2015,76
9/27/2015,70
9/28/2015,85
9/29/2015,93
9/30/2015,84
10/1/2015,195
10/2/2015,108
10/3/2015,85
10/4/2015,68
10/5/2015,118
10/6/2015,105
10/7/2015,94
10/8/2015,83
10/9/2015,106
10/10/2015,89
10/11/2015,68
10/12/2015,92
10/13/2015,92
10/14/2015,95
10/15/2015,125
10/16/2015,94
10/17/2015,62
10/18/2015,66
10/19/2015,85
10/20/2015,98
10/21/2015,90
10/22/2015,111
10/23/2015,95
10/24/2015,73
10/25/2015,55
10/26/2015,103
10/27/2015,81
10/28/2015,103
10/29/2015,82
10/30/2015,103
10/31/2015,72
11/1/2015,167
11/2/2015,110
11/3/2015,103
11/4/2015,100
11/5/2015,87
11/6/2015,81
11/7/2015,82
11/8/2015,60
11/9/2015,88
11/10/2015,83
11/11/2015,103
11/12/2015,105
11/13/2015,83
11/14/2015,68
11/15/2015,94
11/16/2015,98
11/17/2015,83
11/18/2015,87
11/19/2015,86
11/20/2015,83
11/21/2015,63
11/22/2015,77
11/23/2015,86
11/24/2015,73
11/25/2015,73
11/26/2015,51
11/27/2015,76
11/28/2015,69
11/29/2015,60
11/30/2015,105
12/1/2015,173
12/2/2015,85
12/3/2015,102
12/4/2015,93
12/5/2015,84
12/6/2015,73
12/7/2015,89
12/8/2015,105
12/9/2015,89
12/10/2015,91
12/11/2015,70
12/12/2015,86
12/13/2015,43
12/14/2015,90
12/15/2015,100
12/16/2015,97
12/17/2015,105
12/18/2015,83
12/19/2015,81
12/20/2015,84
12/21/2015,96
12/22/2015,86
12/23/2015,89
12/24/2015,80
12/25/2015,42
12/26/2015,71
12/27/2015,58
12/28/2015,68
12/29/2015,88
12/30/2015,89
12/31/2015,103
1/1/2016,303
1/2/2016,87
1/3/2016,69
1/4/2016,85
1/5/2016,99
1/6/2016,108
1/7/2016,96
1/8/2016,96
1/9/2016,78
1/10/2016,95
1/11/2016,77
1/12/2016,78
1/13/2016,105
1/14/2016,100
1/15/2016,100
1/16/2016,92
1/17/2016,72
1/18/2016,77
1/19/2016,98
1/20/2016,81
1/21/2016,88
1/22/2016,77
1/23/2016,88
1/24/2016,76
1/25/2016,104
1/26/2016,113
1/27/2016,98
1/28/2016,94
1/29/2016,98
1/30/2016,90
1/31/2016,68
2/1/2016,206
2/2/2016,111
2/3/2016,117
2/4/2016,94
2/5/2016,97
2/6/2016,105
2/7/2016,85
2/8/2016,87
2/9/2016,94
2/10/2016,110
2/11/2016,98
2/12/2016,108
2/13/2016,75
2/14/2016,63
2/15/2016,91
2/16/2016,85
2/17/2016,102
2/18/2016,90
2/19/2016,104
2/20/2016,92
2/21/2016,68
2/22/2016,86
2/23/2016,99
2/24/2016,93
2/25/2016,108
2/26/2016,113
2/27/2016,93
2/28/2016,73
2/29/2016,100
3/1/2016,219
3/2/2016,85
3/3/2016,100
3/4/2016,95
3/5/2016,86
3/6/2016,98
3/7/2016,125
3/8/2016,103
3/9/2016,106
3/10/2016,108
3/11/2016,102
3/12/2016,90
3/13/2016,73
3/14/2016,110
3/15/2016,108
3/16/2016,111
3/17/2016,100
3/18/2016,103
3/19/2016,80
3/20/2016,87
3/21/2016,126
3/22/2016,91
3/23/2016,106
3/24/2016,102
3/25/2016,102
3/26/2016,87
3/27/2016,61
3/28/2016,108
3/29/2016,106
3/30/2016,88
3/31/2016,101
4/1/2016,191
4/2/2016,92
4/3/2016,95
4/4/2016,117
4/5/2016,111
4/6/2016,82
4/7/2016,98
4/8/2016,83
4/9/2016,101
4/10/2016,108
4/11/2016,120
4/12/2016,111
4/13/2016,104
4/14/2016,84
4/15/2016,115
4/16/2016,81
4/17/2016,80
4/18/2016,94
4/19/2016,82
4/20/2016,91
4/21/2016,110
4/22/2016,98
4/23/2016,92
4/24/2016,81
4/25/2016,105
4/26/2016,102
4/27/2016,96
4/28/2016,107
4/29/2016,85
4/30/2016,75
5/1/2016,173
5/2/2016,115
5/3/2016,114
5/4/2016,89
5/5/2016,102
5/6/2016,110
5/7/2016,82
5/8/2016,83
5/9/2016,103
5/10/2016,106
5/11/2016,99
5/12/2016,82
5/13/2016,111
5/14/2016,98
5/15/2016,84
5/16/2016,117
5/17/2016,105
5/18/2016,85
5/19/2016,92
5/20/2016,103
5/21/2016,92
5/22/2016,65
5/23/2016,116
5/24/2016,94
5/25/2016,100
5/26/2016,104
5/27/2016,94
5/28/2016,76
5/29/2016,72
5/30/2016,78
5/31/2016,114
6/1/2016,204
6/2/2016,103
6/3/2016,110
6/4/2016,147
6/5/2016,107
6/6/2016,132
6/7/2016,114
6/8/2016,94
6/9/2016,129
6/10/2016,94
6/11/2016,96
6/12/2016,74
6/13/2016,123
6/14/2016,135
6/15/2016,111
6/16/2016,110
6/17/2016,113
6/18/2016,72
6/19/2016,63
6/20/2016,118
6/21/2016,107
6/22/2016,104
6/23/2016,100
6/24/2016,85
6/25/2016,86
6/26/2016,74
6/27/2016,97
6/28/2016,107
6/29/2016,103
6/30/2016,101
7/1/2016,179
7/2/2016,92
7/3/2016,78
7/4/2016,73
7/5/2016,95
7/6/2016,90
7/7/2016,110
7/8/2016,98
7/9/2016,81
7/10/2016,83
7/11/2016,92
7/12/2016,132
7/13/2016,101
7/14/2016,103
7/15/2016,106
7/16/2016,80
7/17/2016,80
7/18/2016,105
7/19/2016,99
7/20/2016,118
7/21/2016,118
7/22/2016,97
7/23/2016,68
7/24/2016,70
7/25/2016,109
7/26/2016,111
7/27/2016,98
7/28/2016,106
7/29/2016,113
7/30/2016,92
7/31/2016,64
8/1/2016,195
8/2/2016,115
8/3/2016,112
8/4/2016,120
8/5/2016,107
8/6/2016,93
8/7/2016,82
8/8/2016,113
8/9/2016,122
8/10/2016,114
8/11/2016,110
8/12/2016,93
8/13/2016,100
8/14/2016,73
8/15/2016,135
8/16/2016,132
8/17/2016,104
8/18/2016,110
8/19/2016,89
8/20/2016,101
8/21/2016,73
8/22/2016,90
8/23/2016,94
8/24/2016,112
8/25/2016,89
8/26/2016,101
8/27/2016,82
8/28/2016,77
8/29/2016,100
8/30/2016,89
8/31/2016,90
9/1/2016,205
9/2/2016,99
9/3/2016,81
9/4/2016,82
9/5/2016,84
9/6/2016,119
9/7/2016,98
9/8/2016,96
9/9/2016,105
9/10/2016,77
9/11/2016,69
9/12/2016,104
9/13/2016,95
9/14/2016,123
9/15/2016,113
9/16/2016,110
9/17/2016,78
9/18/2016,65
9/19/2016,88
9/20/2016,113
9/21/2016,102
9/22/2016,112
9/23/2016,99
9/24/2016,112
9/25/2016,78
9/26/2016,108
9/27/2016,82
9/28/2016,74
9/29/2016,105
9/30/2016,101
10/1/2016,160
10/2/2016,61
10/3/2016,112
10/4/2016,112
10/5/2016,131
10/6/2016,118
10/7/2016,135
10/8/2016,70
10/9/2016,65
10/10/2016,98
10/11/2016,119
10/12/2016,96
10/13/2016,113
10/14/2016,109
10/15/2016,109
10/16/2016,86
10/17/2016,116
10/18/2016,98
10/19/2016,87
10/20/2016,86
10/21/2016,98
10/22/2016,107
10/23/2016,81
10/24/2016,103
10/25/2016,91
10/26/2016,102
10/27/2016,90
10/28/2016,108
10/29/2016,111
10/30/2016,102
10/31/2016,123
11/1/2016,185
11/2/2016,77
11/3/2016,97
11/4/2016,97
11/5/2016,77
11/6/2016,70
11/7/2016,101
11/8/2016,95
11/9/2016,74
11/10/2016,102
11/11/2016,114
11/12/2016,76
11/13/2016,74
11/14/2016,87
11/15/2016,107
11/16/2016,103
11/17/2016,92
11/18/2016,112
11/19/2016,75
11/20/2016,88
11/21/2016,106
11/22/2016,98
11/23/2016,111
11/24/2016,60
11/25/2016,90
11/26/2016,75
11/27/2016,75
11/28/2016,87
11/29/2016,95
11/30/2016,91
12/1/2016,196
12/2/2016,125
12/3/2016,88
12/4/2016,58
12/5/2016,110
12/6/2016,91
12/7/2016,88
12/8/2016,87
12/9/2016,121
12/10/2016,86
12/11/2016,58
12/12/2016,112
12/13/2016,104
12/14/2016,90
12/15/2016,112
12/16/2016,103
12/17/2016,80
12/18/2016,66
12/19/2016,137
12/20/2016,119
12/21/2016,119
12/22/2016,98
12/23/2016,106
12/24/2016,69
12/25/2016,47
12/26/2016,75
12/27/2016,112
12/28/2016,127
12/29/2016,107
12/30/2016,128
12/31/2016,80
1/1/2017,270
1/2/2017,99
1/3/2017,120
1/4/2017,113
1/5/2017,121
1/6/2017,87
1/7/2017,89
1/8/2017,82
1/9/2017,109
1/10/2017,125
1/11/2017,111
1/12/2017,115
1/13/2017,121
1/14/2017,101
1/15/2017,85
1/16/2017,81
1/17/2017,104
1/18/2017,113
1/19/2017,114
1/20/2017,103
1/21/2017,94
1/22/2017,94
1/23/2017,109
1/24/2017,112
1/25/2017,107
1/26/2017,85
1/27/2017,131
1/28/2017,87
1/29/2017,69
1/30/2017,117
1/31/2017,106
2/1/2017,179
2/2/2017,118
2/3/2017,105
2/4/2017,75
2/5/2017,82
2/6/2017,120
2/7/2017,119
2/8/2017,117
2/9/2017,108
2/10/2017,126
2/11/2017,91
2/12/2017,77
2/13/2017,109
2/14/2017,109
2/15/2017,105
2/16/2017,94
2/17/2017,138
2/18/2017,102
2/19/2017,65
2/20/2017,91
2/21/2017,101
2/22/2017,115
2/23/2017,117
2/24/2017,102
2/25/2017,73
2/26/2017,86
2/27/2017,101
2/28/2017,96
3/1/2017,195
3/2/2017,117
3/3/2017,112
3/4/2017,80
3/5/2017,77
3/6/2017,98
3/7/2017,119
3/8/2017,118
3/9/2017,95
3/10/2017,114
3/11/2017,91
3/12/2017,93
3/13/2017,90
3/14/2017,103
3/15/2017,103
3/16/2017,101
3/17/2017,106
3/18/2017,74
3/19/2017,77
3/20/2017,118
3/21/2017,101
3/22/2017,74
3/23/2017,98
3/24/2017,105
3/25/2017,86
3/26/2017,89
3/27/2017,113
3/28/2017,95
3/29/2017,104
3/30/2017,101
3/31/2017,125
4/1/2017,157
4/2/2017,80
4/3/2017,111
4/4/2017,134
4/5/2017,103
4/6/2017,92
4/7/2017,114
4/8/2017,90
4/9/2017,80
4/10/2017,137
4/11/2017,114
4/12/2017,115
4/13/2017,103
4/14/2017,120
4/15/2017,104
4/16/2017,78
4/17/2017,123
4/18/2017,100
4/19/2017,112
4/20/2017,85
4/21/2017,133
4/22/2017,95
4/23/2017,80
4/24/2017,97
4/25/2017,107
4/26/2017,95
4/27/2017,112
4/28/2017,106
4/29/2017,82
4/30/2017,78
5/1/2017,219
5/2/2017,114
5/3/2017,111
5/4/2017,93
5/5/2017,129
5/6/2017,84
5/7/2017,64
5/8/2017,113
5/9/2017,103
5/10/2017,98
5/11/2017,82
5/12/2017,128
5/13/2017,89
5/14/2017,78
5/15/2017,133
5/16/2017,86
5/17/2017,86
5/18/2017,109
5/19/2017,103
5/20/2017,86
5/21/2017,86
5/22/2017,109
5/23/2017,105
5/24/2017,94
5/25/2017,118
5/26/2017,113
5/27/2017,72
5/28/2017,88
5/29/2017,82
5/30/2017,114
5/31/2017,107
6/1/2017,193
6/2/2017,97
6/3/2017,91
6/4/2017,77
6/5/2017,96
6/6/2017,114
6/7/2017,105
6/8/2017,105
6/9/2017,93
6/10/2017,88
6/11/2017,83
6/12/2017,86
6/13/2017,117
6/14/2017,106
6/15/2017,112
6/16/2017,122
6/17/2017,95
6/18/2017,75
6/19/2017,89
6/20/2017,84
6/21/2017,116
6/22/2017,118
6/23/2017,97
6/24/2017,90
6/25/2017,77
6/26/2017,107
6/27/2017,91
6/28/2017,94
6/29/2017,104
6/30/2017,97
7/1/2017,187
7/2/2017,68
7/3/2017,119
7/4/2017,82
7/5/2017,110
7/6/2017,92
7/7/2017,102
7/8/2017,94
7/9/2017,70
7/10/2017,108
7/11/2017,110
7/12/2017,89
7/13/2017,94
7/14/2017,92
7/15/2017,117
7/16/2017,76
7/17/2017,125
7/18/2017,119
7/19/2017,99
7/20/2017,104
7/21/2017,84
7/22/2017,80
7/23/2017,79
7/24/2017,138
7/25/2017,134
7/26/2017,103
7/27/2017,94
7/28/2017,115
7/29/2017,95
7/30/2017,80
7/31/2017,114
8/1/2017,192
8/2/2017,124
8/3/2017,112
8/4/2017,128
8/5/2017,121
8/6/2017,78
8/7/2017,95
8/8/2017,109
8/9/2017,111
8/10/2017,98
