Date,THEFT
1/1/2015,209
1/2/2015,191
1/3/2015,193
1/4/2015,141
1/5/2015,164
1/6/2015,159
1/7/2015,143
1/8/2015,144
1/9/2015,166
1/10/2015,208
1/11/2015,196
1/12/2015,196
1/13/2015,194
1/14/2015,195
1/15/2015,227
1/16/2015,210
1/17/2015,212
1/18/2015,209
1/19/2015,226
1/20/2015,254
1/21/2015,216
1/22/2015,216
1/23/2015,206
1/24/2015,226
1/25/2015,183
1/26/2015,207
1/27/2015,167
1/28/2015,200
1/29/2015,207
1/30/2015,198
1/31/2015,168
2/1/2015,136
2/2/2015,114
2/3/2015,148
2/4/2015,150
2/5/2015,148
2/6/2015,173
2/7/2015,148
2/8/2015,159
2/9/2015,169
2/10/2015,157
2/11/2015,164
2/12/2015,160
2/13/2015,155
2/14/2015,163
2/15/2015,137
2/16/2015,134
2/17/2015,170
2/18/2015,148
2/19/2015,146
2/20/2015,183
2/21/2015,185
2/22/2015,137
2/23/2015,170
2/24/2015,162
2/25/2015,136
2/26/2015,135
2/27/2015,179
2/28/2015,145
3/1/2015,179
3/2/2015,190
3/3/2015,160
3/4/2015,148
3/5/2015,143
3/6/2015,183
3/7/2015,175
3/8/2015,167
3/9/2015,183
3/10/2015,185
3/11/2015,204
3/12/2015,200
3/13/2015,228
3/14/2015,208
3/15/2015,199
3/16/2015,199
3/17/2015,180
3/18/2015,177
3/19/2015,199
3/20/2015,195
3/21/2015,181
3/22/2015,180
3/23/2015,166
3/24/2015,176
3/25/2015,174
3/26/2015,173
3/27/2015,196
3/28/2015,188
3/29/2015,165
3/30/2015,197
3/31/2015,177
4/1/2015,241
4/2/2015,218
4/3/2015,198
4/4/2015,177
4/5/2015,165
4/6/2015,194
4/7/2015,186
4/8/2015,200
4/9/2015,156
4/10/2015,193
4/11/2015,177
4/12/2015,193
4/13/2015,191
4/14/2015,184
4/15/2015,219
4/16/2015,171
4/17/2015,214
4/18/2015,223
4/19/2015,209
4/20/2015,219
4/21/2015,204
4/22/2015,197
4/23/2015,193
4/24/2015,223
4/25/2015,189
4/26/2015,187
4/27/2015,194
4/28/2015,202
4/29/2015,225
4/30/2015,189
5/1/2015,248
5/2/2015,195
5/3/2015,211
5/4/2015,196
5/5/2015,191
5/6/2015,197
5/7/2015,209
5/8/2015,237
5/9/2015,184
5/10/2015,199
5/11/2015,203
5/12/2015,211
5/13/2015,228
5/14/2015,223
5/15/2015,218
5/16/2015,237
5/17/2015,198
5/18/2015,197
5/19/2015,190
5/20/2015,201
5/21/2015,203
5/22/2015,234
5/23/2015,232
5/24/2015,190
5/25/2015,177
5/26/2015,209
5/27/2015,207
5/28/2015,234
5/29/2015,260
5/30/2015,226
5/31/2015,177
6/1/2015,242
6/2/2015,209
6/3/2015,212
6/4/2015,230
6/5/2015,219
6/6/2015,219
6/7/2015,197
6/8/2015,195
6/9/2015,219
6/10/2015,233
6/11/2015,212
6/12/2015,232
6/13/2015,230
6/14/2015,235
6/15/2015,244
6/16/2015,252
6/17/2015,208
6/18/2015,218
6/19/2015,257
6/20/2015,222
6/21/2015,192
6/22/2015,242
6/23/2015,215
6/24/2015,228
6/25/2015,229
6/26/2015,229
6/27/2015,226
6/28/2015,207
6/29/2015,218
6/30/2015,221
7/1/2015,242
7/2/2015,211
7/3/2015,243
7/4/2015,226
7/5/2015,236
7/6/2015,209
7/7/2015,215
7/8/2015,215
7/9/2015,196
7/10/2015,249
7/11/2015,227
7/12/2015,229
7/13/2015,221
7/14/2015,237
7/15/2015,257
7/16/2015,209
7/17/2015,262
7/18/2015,216
7/19/2015,225
7/20/2015,254
7/21/2015,233
7/22/2015,226
7/23/2015,251
7/24/2015,274
7/25/2015,240
7/26/2015,221
7/27/2015,265
7/28/2015,234
7/29/2015,226
7/30/2015,219
7/31/2015,238
8/1/2015,334
8/2/2015,242
8/3/2015,224
8/4/2015,237
8/5/2015,236
8/6/2015,249
8/7/2015,255
8/8/2015,239
8/9/2015,210
8/10/2015,249
8/11/2015,229
8/12/2015,234
8/13/2015,219
8/14/2015,248
8/15/2015,237
8/16/2015,240
8/17/2015,214
8/18/2015,237
8/19/2015,244
8/20/2015,265
8/21/2015,285
8/22/2015,238
8/23/2015,228
8/24/2015,216
8/25/2015,256
8/26/2015,254
8/27/2015,265
8/28/2015,268
8/29/2015,201
8/30/2015,234
8/31/2015,238
9/1/2015,265
9/2/2015,233
9/3/2015,302
9/4/2015,258
9/5/2015,235
9/6/2015,220
9/7/2015,223
9/8/2015,231
9/9/2015,213
9/10/2015,206
9/11/2015,197
9/12/2015,215
9/13/2015,206
9/14/2015,265
9/15/2015,254
9/16/2015,245
9/17/2015,229
9/18/2015,248
9/19/2015,248
9/20/2015,238
9/21/2015,207
9/22/2015,217
9/23/2015,252
9/24/2015,222
9/25/2015,219
9/26/2015,233
9/27/2015,217
9/28/2015,241
9/29/2015,211
9/30/2015,225
10/1/2015,251
10/2/2015,249
10/3/2015,236
10/4/2015,197
10/5/2015,224
10/6/2015,221
10/7/2015,201
